Survey month,Parameter,State and territory,Sex,Classification,Category,Full_time,Full_time_RSE,Part_time,Part_time_RSE,With paid leave entitlements,With paid leave entitlements_RSE,Without paid leave entitlements,Without paid leave entitlements_RSE,Total,Total_RSE,Sub_Category,ParentCategory
2014,Median weekly earnings,QLD,Females,Relationship in household,Non-family member,1019.931,5.0,475.999,13.3,974.783,5.4,450.0,17.2,900.0,3.8,,Non-family member
2014,Median weekly earnings,QLD,Females,Relationship in household,   Lone person,1100.0,5.9,570.388,16.6,1043.131,6.0,516.848,21.5,999.025,5.1,Lone person,Non-family member
2014,Median weekly earnings,QLD,Females,Relationship in household,   Not living alone,898.704,10.0,361.598,15.3,835.836,12.0,385.506,33.0,800.0,7.9,Not living alone,Non-family member
2014,Median weekly earnings,QLD,Females,Relationship in household,Relationship not determined,954.511,24.5,196.164,0.1,1151.526,0.1,348.128,48.5,902.836,25.3,,Relationship not determined
2014,Median weekly earnings,SA,Persons,Relationship in household,Family member,1150.0,2.0,480.611,2.8,1050.0,2.3,461.14,4.4,900.0,1.9,,Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,"   Husband, wife or partner",1200.0,1.2,525.169,3.2,1100.0,1.5,563.225,5.1,1000.0,0.5,"Husband, wife or partner",Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,      With dependants,1250.0,2.0,525.784,4.8,1112.0,1.7,547.036,8.0,1000.0,1.7,With dependants,Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,      Without dependants,1195.056,2.5,524.38,4.3,1091.911,3.3,599.245,8.2,1000.0,1.8,Without dependants,Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,   Lone parent,1111.264,5.6,523.26,3.6,1050.0,4.7,518.557,13.9,938.342,7.5,Lone parent,Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,   Dependent student,510.813,0.1,140.0,16.3,330.62,24.3,120.0,14.5,140.876,17.5,Dependent student,Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,   Non-dependent child,847.172,4.4,450.0,5.7,800.0,6.4,578.862,11.4,700.0,4.4,Non-dependent child,Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,   Other related individual,999.721,4.9,367.974,29.0,1000.0,11.4,616.444,23.9,742.02,13.0,Other related individual,Family member
2014,Median weekly earnings,SA,Persons,Relationship in household,Non-family member,1100.0,3.1,451.482,12.4,1100.0,3.3,643.96,13.5,1000.0,3.9,,Non-family member
